trading_day,open,prior_close,prior_day_high,prior_day_low,prior_day_vpoc,open_bucket,onh,onl,onmid,on_vpoc,day_high,day_low,day_close,day_vpoc,ibh,ibl,post_ib_high,post_ib_low,hit_on_vpoc,hit_prior_day_vpoc,hit_onl,hit_onmid,hit_onh,hit_prior_day_high,hit_prior_day_low,post_ib_exceed_ibh,post_ib_exceed_ibl,post_ib_exceed_upper_1p5,post_ib_exceed_lower_1p5,gap_pct,gap_filled,gap_size_bucket
2022-05-27,4377.75,4347.0,4369.75,4283.75,4351.75,HOR,4383.5,4337.5,4360.5,4361.25,4464.5,4375.75,4464.25,4452.5,4422.25,4375.75,4464.5,4404.25,False,False,False,False,True,False,False,True,False,False,False,0.7073844030365769,False,gap_0p5_to_1_pct
2022-05-30,4465.5,4464.25,4464.5,4375.75,4452.5,HOR,4498.5,4453.75,4476.125,4485.5,4483.25,4462.5,4473.75,4466.5,4469.25,4462.5,4483.25,4465.5,False,False,False,True,False,True,False,True,False,True,False,0.028000224001792015,True,gap_0_to_0p5_pct
2022-05-31,4434.25,4473.75,4483.25,4462.5,4466.5,LOR,4476.25,4417.75,4447.0,4432.75,4464.0,4399.0,4428.5,4428.5,4437.75,4399.0,4464.0,4411.25,True,False,True,True,False,False,True,True,False,False,False,0.8829281922324671,False,gap_0p5_to_1_pct
2022-06-01,4450.5,4428.5,4464.0,4399.0,4428.5,HIR,4453.0,4422.0,4437.5,4450.25,4461.25,4367.75,4393.25,4394.75,4461.25,4401.25,4424.0,4367.75,True,True,True,True,True,False,True,False,True,False,False,0.49678220616461555,True,gap_0_to_0p5_pct
2022-06-02,4392.75,4393.25,4461.25,4367.75,4394.75,LIR,4420.75,4379.75,4400.25,4392.75,4475.25,4368.5,4474.0,4472.0,4404.25,4368.5,4475.25,4374.25,True,True,True,True,True,True,False,True,False,True,False,0.011381095999544757,True,gap_0_to_0p5_pct
2022-06-03,4422.0,4474.0,4475.25,4368.5,4472.0,LIR,4485.25,4421.25,4453.25,4456.75,4438.5,4393.0,4405.75,4404.25,4438.5,4411.75,4430.75,4393.0,False,False,True,False,False,False,False,False,True,False,False,1.16227089852481,False,gap_1_to_2_pct
2022-06-06,4446.0,4405.75,4438.5,4393.0,4404.25,HOR,4455.25,4400.75,4428.0,4448.75,4464.5,4403.5,4417.0,4415.5,4464.5,4435.0,4463.5,4403.5,True,True,False,True,True,True,False,False,True,False,False,0.9135788458264767,True,gap_0p5_to_1_pct
2022-06-07,4378.75,4417.0,4464.5,4403.5,4415.5,LOR,4420.25,4372.25,4396.25,4398.25,4460.25,4374.0,4447.0,4455.0,4413.0,4374.0,4460.25,4404.5,True,True,False,True,True,False,True,True,False,False,False,0.8659723794430609,True,gap_0p5_to_1_pct
2022-06-08,4437.25,4447.0,4460.25,4374.0,4455.0,LIR,4454.5,4430.0,4442.25,4437.75,4456.25,4401.5,4412.5,4410.5,4456.25,4424.5,4455.0,4401.5,True,True,True,True,True,False,False,False,True,False,False,0.2192489318641781,True,gap_0_to_0p5_pct
2022-06-09,4390.75,4412.5,4456.25,4401.5,4410.5,LOR,4440.5,4388.5,4414.5,4391.25,4414.5,4311.0,4319.25,4311.25,4414.5,4381.25,4410.75,4311.0,True,True,True,True,False,False,True,False,True,False,True,0.49291784702549574,True,gap_0_to_0p5_pct
2022-06-10,4245.75,4319.25,4414.5,4311.0,4311.25,LOR,4325.75,4235.75,4280.75,4267.5,4254.5,4191.5,4201.75,4194.25,4254.5,4198.0,4238.75,4191.5,False,False,True,False,False,False,False,False,True,False,False,1.701684320194478,False,gap_1_to_2_pct
2022-06-13,4093.5,4201.75,4254.5,4191.5,4194.25,LOR,4173.25,4093.0,4133.125,4101.0,4114.25,4030.0,4052.25,4048.0,4114.25,4065.25,4110.25,4030.0,True,False,True,False,False,False,False,False,True,False,False,2.5763074909264,False,gap_gt_2_pct
2022-06-14,4065.75,4052.25,4114.25,4030.0,4048.0,HIR,4102.25,4049.25,4075.75,4063.5,4076.75,4003.25,4037.25,4036.5,4076.75,4037.5,4062.25,4003.25,True,True,True,True,False,False,True,False,True,False,False,0.3331482509716824,True,gap_0_to_0p5_pct
2022-06-15,4071.0,4037.25,4076.75,4003.25,4036.5,HIR,4077.5,4034.25,4055.875,4070.25,4137.75,4018.25,4088.5,4090.25,4092.5,4064.25,4137.75,4018.25,True,True,True,True,True,True,False,True,True,True,True,0.8359650752368568,True,gap_0p5_to_1_pct
2022-06-16,4002.25,4088.5,4137.75,4018.25,4090.25,LOR,4128.0,3989.75,4058.875,4019.75,4006.5,3936.75,3974.75,3968.25,4006.5,3970.75,3987.75,3936.75,False,False,True,False,False,False,False,False,True,False,False,2.1095756389874034,False,gap_gt_2_pct
2022-06-17,3967.25,3974.75,4006.5,3936.75,3968.25,LIR,4008.25,3963.25,3985.75,3975.75,4006.5,3933.75,3978.5,3970.0,4006.5,3953.75,4003.5,3933.75,True,True,True,True,False,True,True,False,True,False,False,0.18869111264859426,True,gap_0_to_0p5_pct
2022-06-20,3997.75,3978.5,4006.5,3933.75,3970.0,HIR,4004.5,3956.25,3980.375,3996.75,4019.75,3992.0,4010.75,4017.0,4002.75,3992.0,4019.75,4000.75,True,False,False,False,True,True,False,True,False,True,False,0.48385069749905746,False,gap_0_to_0p5_pct
2022-06-21,4031.0,4010.75,4019.75,3992.0,4017.0,HOR,4043.75,4005.25,4024.5,4023.0,4078.5,4030.25,4064.25,4063.25,4068.5,4030.25,4078.5,4052.0,False,False,False,False,True,False,False,True,False,False,False,0.5048930997943027,False,gap_0p5_to_1_pct
2022-06-22,4018.75,4064.25,4078.5,4030.25,4063.25,LOR,4062.5,3988.0,4025.25,4018.5,4100.25,4014.0,4055.0,4055.5,4082.75,4014.0,4100.25,4053.5,True,True,False,True,True,True,True,True,False,False,False,1.1195177462016361,True,gap_1_to_2_pct
2022-06-23,4078.5,4055.0,4100.25,4014.0,4055.5,HIR,4091.75,4029.75,4060.75,4083.25,4100.5,4040.5,4079.0,4093.5,4088.0,4059.75,4100.5,4040.5,True,True,False,True,True,True,False,True,True,False,False,0.5795314426633785,True,gap_0p5_to_1_pct
2022-06-24,4126.5,4079.0,4100.5,4040.5,4093.5,HOR,4129.0,4076.0,4102.5,4122.25,4214.5,4125.75,4209.5,4213.75,4184.5,4125.75,4214.5,4169.75,False,False,False,False,True,False,False,True,False,False,False,1.1645011032115715,False,gap_1_to_2_pct
2022-06-27,4223.5,4209.5,4214.5,4125.75,4213.75,HOR,4242.75,4190.25,4216.5,4221.75,4226.5,4187.25,4204.75,4200.25,4226.5,4188.25,4224.5,4187.25,True,True,True,True,False,True,False,False,True,False,False,0.3325810666349923,True,gap_0_to_0p5_pct
2022-06-28,4215.0,4204.75,4226.5,4187.25,4200.25,HIR,4232.5,4180.5,4206.5,4215.75,4244.75,4116.5,4122.75,4120.0,4244.75,4207.0,4209.5,4116.5,True,True,True,True,True,True,True,False,True,False,True,0.24377192460907307,True,gap_0_to_0p5_pct
2022-06-29,4124.75,4122.75,4244.75,4116.5,4120.0,HIR,4134.75,4106.75,4120.75,4126.5,4134.75,4096.0,4117.75,4115.25,4134.75,4096.0,4134.0,4096.25,True,True,True,True,True,False,True,False,False,False,False,0.048511309198957006,True,gap_0_to_0p5_pct
2022-06-30,4072.75,4117.75,4134.75,4096.0,4115.25,LOR,4119.75,4055.5,4087.625,4074.0,4117.5,4036.0,4075.75,4084.25,4081.0,4036.0,4117.5,4043.0,True,True,True,True,False,False,True,True,False,False,False,1.0928298221115902,False,gap_1_to_2_pct
2022-07-01,4075.75,4075.75,4117.5,4036.0,4084.25,HIR,4088.5,4039.25,4063.875,4077.0,4128.25,4048.25,4120.25,4122.75,4111.5,4058.75,4128.25,4048.25,True,True,False,True,True,True,False,True,True,False,False,,,
2022-07-04,4113.5,4120.25,4128.25,4048.25,4122.75,LIR,4123.25,4087.75,4105.5,4097.5,4114.25,4100.5,4108.25,4107.75,4114.25,4101.25,4111.75,4100.5,False,False,False,True,False,False,False,False,True,False,False,0.16382501061828772,False,gap_0_to_0p5_pct
2022-07-05,4069.25,4108.25,4114.25,4100.5,4107.75,LOR,4152.5,4068.0,4110.25,4071.0,4130.5,4038.75,4128.5,4054.75,4073.5,4038.75,4130.5,4040.25,True,True,True,True,False,True,True,True,False,True,False,0.9493093166189983,True,gap_0p5_to_1_pct
2022-07-06,4131.5,4128.5,4130.5,4038.75,4054.75,HOR,4143.5,4103.5,4123.5,4128.0,4169.75,4106.25,4148.75,4144.25,4147.0,4116.75,4169.75,4106.25,True,False,False,True,True,True,False,True,True,False,False,0.07266561705219814,True,gap_0_to_0p5_pct
2022-07-07,4161.75,4148.75,4169.75,4106.25,4144.25,HIR,4164.0,4127.25,4145.625,4153.25,4209.0,4161.25,4194.0,4199.5,4186.5,4161.25,4209.0,4176.0,False,False,False,False,True,True,False,True,False,False,False,0.3133473937933113,False,gap_0_to_0p5_pct
2022-07-08,4182.25,4194.0,4209.0,4161.25,4199.5,LIR,4203.75,4162.75,4183.25,4178.0,4216.75,4166.25,4200.25,4196.75,4203.5,4166.25,4216.75,4176.25,True,True,False,True,True,True,False,True,False,False,False,0.28016213638531234,True,gap_0_to_0p5_pct
